Timestamp|Value|Channel
07:28:04|2|channel 1
07:28:05|2|channel 1
07:28:06|2|channel 1
07:28:07|2|channel 1
07:28:08|2|channel 1
07:28:09|2|channel 1
07:28:10|2|channel 1
07:28:11|2|channel 1
07:28:12|2|channel 1
07:28:13|2|channel 1
07:28:14|2|channel 1
07:28:15|2|channel 1
07:28:16|2|channel 1
07:28:17|2|channel 1
07:28:18|2|channel 1
07:28:19|2|channel 1
07:28:20|2|channel 1
07:28:21|2|channel 1
07:28:22|2|channel 1
07:28:23|2|channel 1
07:28:24|2|channel 1
07:28:25|2|channel 1
07:28:26|2|channel 1
07:28:27|2|channel 1
07:28:28|2|channel 1
07:28:29|2|channel 1
07:28:30|2|channel 1
07:28:31|2|channel 1
07:28:32|2|channel 1
07:28:33|2|channel 1
07:28:34|2|channel 1
07:28:35|2|channel 1
07:28:36|2|channel 1
07:28:37|2|channel 1
07:28:38|2|channel 1
07:28:39|2|channel 1
07:28:40|2|channel 1
07:28:41|2|channel 1
07:28:42|2|channel 1
07:28:43|2|channel 1
07:28:44|2|channel 1
07:28:45|2|channel 1
07:28:46|2|channel 1
07:28:47|2|channel 1
07:28:48|2|channel 1
07:28:49|2|channel 1
07:28:50|2|channel 1
07:28:51|2|channel 1
07:28:52|2|channel 1
07:28:53|2|channel 1
07:28:54|2|channel 1
07:28:55|2|channel 1
07:28:56|2|channel 1
07:28:57|2|channel 1
07:28:58|2|channel 1
07:28:59|2|channel 1
07:29:00|2|channel 1
07:29:01|2|channel 1
07:29:02|2|channel 1
07:29:03|2|channel 1
07:29:04|2|channel 1
07:29:05|2|channel 1
07:29:06|2|channel 1
07:29:07|2|channel 1
07:29:08|2|channel 1
07:29:09|2|channel 1
07:29:10|2|channel 1
07:29:11|2|channel 1
07:29:12|2|channel 1
07:29:13|2|channel 1
07:29:14|2|channel 1
07:29:15|2|channel 1
07:29:16|1|channel 1
07:29:17|1|channel 1
07:29:18|1|channel 1
07:29:19|1|channel 1
07:29:20|1|channel 1
07:29:21|1|channel 1
07:29:22|1|channel 1
07:29:23|1|channel 1
07:29:24|1|channel 1
07:29:25|1|channel 1
07:29:26|1|channel 1
07:29:27|1|channel 1
07:29:28|1|channel 1
07:29:29|1|channel 1
07:29:30|1|channel 1
07:29:31|1|channel 1
07:29:32|1|channel 1
07:29:33|1|channel 1
07:29:34|1|channel 1
07:29:35|1|channel 1
07:29:36|1|channel 1
07:29:37|1|channel 1
07:29:38|1|channel 1
07:29:39|1|channel 1
07:29:40|1|channel 1
07:29:41|1|channel 1
07:29:42|1|channel 1
07:29:43|1|channel 1
07:29:44|1|channel 1
07:29:45|1|channel 1
07:29:46|1|channel 1
07:29:47|1|channel 1
07:29:48|1|channel 1
07:29:49|1|channel 1
07:29:50|1|channel 1
07:29:51|1|channel 1
07:29:52|1|channel 1
07:29:53|1|channel 1
07:29:54|1|channel 1
07:29:55|1|channel 1
07:29:56|1|channel 1
07:29:57|1|channel 1
07:29:58|1|channel 1
07:29:59|1|channel 1
07:30:00|1|channel 1
07:30:01|1|channel 1
07:30:02|1|channel 1
07:30:03|1|channel 1
07:30:04|1|channel 1
07:30:05|1|channel 1
07:30:06|1|channel 1
07:30:07|1|channel 1
07:30:08|1|channel 1
07:30:09|1|channel 1
07:30:10|1|channel 1
07:30:11|1|channel 1
07:30:12|1|channel 1
07:30:13|1|channel 1
07:30:14|1|channel 1
07:30:15|1|channel 1
07:30:16|1|channel 1
07:30:17|1|channel 1
07:30:18|1|channel 1
07:30:19|1|channel 1
07:30:20|1|channel 1
